house_id,city,months_listed,bedrooms,house_type,area,price
1331375,3,7.7,3,2,209.7,78815.07
1630115,3,6.5,4,0,390.6,300732.85
1645745,2,7.4,6,0,556.8,407845.03
1336775,2,8.8,3,1,208.3,112212.64
1888274,2,5.7,4,0,389.2,266473.5
1567679,3,4.9,4,0,349.6,283247.58
1298770,2,7.3,5,0,476.9,343940.46
1662892,1,5.3,2,1,103.0,41867.13
1514321,0,4.5,3,0,291.3,172584.18
1795371,2,10.5,3,0,295.6,208553.78
1872688,2,6.0,4,0,303.4,213663.01
1115697,0,8.2,3,0,248.0,139787.18
1752850,3,9.0,5,0,470.7,389166.54
1298746,3,4.3,5,0,462.2,350934.08
1464795,0,6.4,4,0,325.4,193315.45
1982802,0,6.1,3,0,285.3,163622.05
1823033,3,2.2,3,0,296.2,240902.27
1585193,3,4.9,2,1,197.9,111440.27
1843329,3,5.8,5,0,442.9,354282.41
1424530,2,4.7,2,2,133.3,47033.42
1040934,3,4.7,6,0,516.5,422490.7
1483696,3,6.0,5,0,477.5,387386.21
1436940,1,7.9,6,0,547.6,271285.06
1608175,2,8.0,2,2,126.4,45232.39
1902237,0,6.9,3,0,298.7,174992.89
1563689,0,5.3,5,0,481.9,284640.31
1976354,1,4.0,4,0,385.6,189110.87
1872940,2,3.9,5,0,472.1,333455.68
1704427,3,3.0,5,0,448.5,353244.14
1131878,2,3.0,5,0,475.3,327315.2
1803015,2,8.1,2,2,160.3,54269.47
1897548,2,6.1,3,0,271.2,196184.21
1739654,2,0.3,3,0,247.8,174753.4
1658430,2,7.2,3,0,285.0,207907.6
1282370,2,4.5,3,0,241.4,170206.64
1512890,2,5.2,2,1,134.8,72921.67
1597534,3,4.2,2,1,199.1,112689.21
1174073,3,9.2,4,0,357.7,288490.84
1179366,3,7.8,6,0,538.8,429472.62
1757117,0,7.5,3,1,216.0,88281.04
1148656,3,6.3,2,1,178.9,102297.79
1776320,3,7.3,5,0,493.6,405432.66
1155319,0,8.1,5,0,421.9,256281.74
1675362,0,4.2,4,0,332.0,208043.95
1748129,2,6.6,2,1,112.6,59460.87
1648926,3,4.4,4,0,335.9,271307.85
1050783,2,3.4,2,2,187.8,65584.39
1843278,1,5.4,6,0,534.2,265467.41
1372090,3,5.5,4,0,302.8,239403.3
1583730,2,4.6,6,0,542.6,382762.63
1785440,0,4.7,6,0,526.1,299864.39
1459181,0,5.6,4,0,321.1,192509.33
1172373,1,6.5,2,1,157.6,61355.79
1863428,0,8.0,6,0,551.7,323156.21
1441768,1,5.8,3,0,251.2,134107.75
1391522,1,8.3,6,0,504.9,253282.47
1514959,1,9.2,6,0,536.7,268137.72
1245154,3,4.1,5,0,483.3,375157.35
1819123,3,9.1,4,0,363.4,283839.41
1590249,0,7.5,5,0,431.1,261309.07
1454241,3,9.0,6,0,582.4,435677.82
1842811,2,7.0,3,2,227.3,76672.59
1900872,2,8.1,4,0,372.2,260348.36
1226463,1,10.4,5,0,462.1,239386.1
1838399,0,4.2,6,0,534.9,294957.58
1918258,1,4.4,3,2,238.1,65612.83
1505853,2,4.8,2,1,165.8,92521.88
1368297,3,5.6,5,0,410.7,335258.58
1364171,1,1.9,2,1,188.0,73231.12
1312331,1,5.1,3,0,297.2,159236.27
1690593,0,5.1,5,0,460.2,275467.47
1376720,0,3.8,2,2,183.8,54038.04
1948257,2,7.9,6,0,596.3,411456.22
1782823,0,4.2,2,1,194.5,84367.94
1992569,2,11.3,6,0,542.6,396981.0
1869181,1,8.8,2,2,183.2,49570.06
1273905,0,8.8,2,1,173.6,80055.82
1620111,2,6.8,4,0,367.6,258621.21
1513082,2,5.6,3,0,287.5,202464.96
1691647,3,9.5,4,0,382.2,306078.02
1940791,2,9.2,2,1,108.9,58484.71
1315709,0,6.5,4,0,306.5,185822.57
1607614,2,5.0,6,0,597.2,422136.07
1637288,3,4.0,6,0,597.6,487221.28
1761461,0,7.1,5,0,416.8,248607.99
1976582,3,5.7,2,1,133.6,76237.08
1261848,0,5.8,5,0,492.0,284623.39
1541480,2,5.5,3,0,291.4,197525.27
1423388,1,1.1,5,0,412.3,200502.51
1441081,3,10.5,3,0,266.8,210613.67
1876203,2,1.5,2,1,140.9,75688.67
1906830,2,10.1,3,1,226.1,119311.15
1785964,3,5.3,2,2,175.0,71568.17
1640596,2,2.0,6,0,556.6,406493.2
1530222,0,5.4,3,0,290.3,171070.67
1678434,2,6.2,5,0,481.9,335888.56
1657557,2,5.8,5,0,479.0,329342.0
1200571,1,5.9,4,0,392.7,201656.96
1799836,1,8.5,6,0,592.7,305255.67
1124016,3,7.1,5,0,442.8,356266.64
1985411,0,3.8,5,0,476.5,275157.71
